Unnamed: 0,Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
4,2003,6,23,1,1328,1255,1655.0,1615,AA,1362,N4YUAA,147.0,140,107.0,40.0,33,ORD,JFK,740,8.0,32,0,N,0,0.0,0.0,40.0,0.0,0.0
10,2003,6,23,1,1207,1155,1513.0,1455,AA,1363,N4XNAA,246.0,240,215.0,18.0,12,BOS,DFW,1562,11.0,20,0,N,0,8.0,0.0,6.0,0.0,4.0
11,2003,6,28,6,1209,1155,1511.0,1455,AA,1363,N4XCAA,242.0,240,209.0,16.0,14,BOS,DFW,1562,18.0,15,0,N,0,0.0,0.0,2.0,0.0,14.0
12,2003,6,2,1,1726,1715,2024.0,2005,AA,1366,N584AA,118.0,110,77.0,19.0,11,COS,DFW,592,19.0,22,0,N,0,0.0,0.0,8.0,0.0,11.0
13,2003,6,6,5,1748,1715,2029.0,2005,AA,1366,N462AA,101.0,110,82.0,24.0,33,COS,DFW,592,8.0,11,0,N,0,0.0,0.0,0.0,0.0,24.0
14,2003,6,9,1,1828,1715,2109.0,2005,AA,1366,N530AA,101.0,110,80.0,64.0,73,COS,DFW,592,7.0,14,0,N,0,0.0,0.0,3.0,0.0,61.0
16,2003,6,16,1,1747,1715,2042.0,2005,AA,1366,N522AA,115.0,110,77.0,37.0,32,COS,DFW,592,26.0,12,0,N,0,0.0,0.0,5.0,0.0,32.0
17,2003,6,19,4,1931,1715,2208.0,2005,AA,1366,N570AA,97.0,110,77.0,123.0,136,COS,DFW,592,8.0,12,0,N,0,0.0,0.0,0.0,0.0,123.0
18,2003,6,20,5,1847,1715,2128.0,2005,AA,1366,N511AA,101.0,110,79.0,83.0,92,COS,DFW,592,10.0,12,0,N,0,0.0,0.0,0.0,0.0,83.0
19,2003,6,21,6,1745,1715,2025.0,2005,AA,1366,N587AA,100.0,110,78.0,20.0,30,COS,DFW,592,8.0,14,0,N,0,0.0,0.0,0.0,0.0,20.0
22,2003,6,24,2,1842,1715,2122.0,2005,AA,1366,N428AA,100.0,110,76.0,77.0,87,COS,DFW,592,12.0,12,0,N,0,0.0,0.0,0.0,0.0,77.0
26,2003,6,6,5,2128,2050,43.0,5,AA,1366,N461AA,135.0,135,118.0,38.0,38,DFW,JAX,919,5.0,12,0,N,0,38.0,0.0,0.0,0.0,0.0
28,2003,6,9,1,2206,2050,133.0,5,AA,1366,N530AA,147.0,135,127.0,88.0,76,DFW,JAX,919,3.0,17,0,N,0,0.0,22.0,12.0,0.0,54.0
31,2003,6,16,1,2131,2050,40.0,5,AA,1366,N580AA,129.0,135,113.0,35.0,41,DFW,JAX,919,5.0,11,0,N,0,35.0,0.0,0.0,0.0,0.0
32,2003,6,17,2,2222,2050,139.0,5,AA,1366,N474AA,137.0,135,109.0,94.0,92,DFW,JAX,919,10.0,18,0,N,0,0.0,92.0,2.0,0.0,0.0
33,2003,6,19,4,2305,2050,211.0,5,AA,1366,N501AA,126.0,135,108.0,126.0,135,DFW,JAX,919,5.0,13,0,N,0,65.0,0.0,0.0,0.0,61.0
34,2003,6,20,5,2210,2050,123.0,5,AA,1366,N511AA,133.0,135,111.0,78.0,80,DFW,JAX,919,8.0,14,0,N,0,7.0,0.0,0.0,0.0,71.0
36,2003,6,22,7,2126,2050,37.0,5,AA,1366,N558AA,131.0,135,115.0,32.0,36,DFW,JAX,919,6.0,10,0,N,0,32.0,0.0,0.0,0.0,0.0
37,2003,6,24,2,2151,2050,100.0,5,AA,1366,N428AA,129.0,135,116.0,55.0,61,DFW,JAX,919,3.0,10,0,N,0,0.0,0.0,0.0,0.0,55.0
38,2003,6,25,3,2151,2050,148.0,5,AA,1366,N482AA,177.0,135,114.0,103.0,61,DFW,JAX,919,5.0,58,0,N,0,0.0,61.0,42.0,0.0,0.0
39,2003,6,27,5,2059,2050,22.0,5,AA,1366,N253AA,143.0,135,119.0,17.0,9,DFW,JAX,919,4.0,20,0,N,0,9.0,0.0,8.0,0.0,0.0
40,2003,6,1,7,948,720,1223.0,955,AA,1368,N553AA,155.0,155,133.0,148.0,148,MCO,LGA,950,6.0,16,0,N,0,148.0,0.0,0.0,0.0,0.0
42,2003,6,6,5,730,720,1018.0,955,AA,1368,N540AA,168.0,155,154.0,23.0,10,MCO,LGA,950,3.0,11,0,N,0,10.0,0.0,13.0,0.0,0.0
43,2003,6,7,6,745,720,1025.0,955,AA,1368,N4WTAA,160.0,155,144.0,30.0,25,MCO,LGA,950,3.0,13,0,N,0,25.0,0.0,5.0,0.0,0.0
44,2003,6,8,7,1036,720,1312.0,955,AA,1368,N200AA,156.0,155,136.0,197.0,196,MCO,LGA,950,10.0,10,0,N,0,196.0,0.0,1.0,0.0,0.0
45,2003,6,13,5,757,720,1034.0,955,AA,1368,N579AA,157.0,155,139.0,39.0,37,MCO,LGA,950,4.0,14,0,N,0,37.0,0.0,2.0,0.0,0.0
46,2003,6,18,3,759,720,1048.0,955,AA,1368,N248AA,169.0,155,140.0,53.0,39,MCO,LGA,950,13.0,16,0,N,0,39.0,0.0,14.0,0.0,0.0
47,2003,6,20,5,756,720,1018.0,955,AA,1368,N442AA,142.0,155,128.0,23.0,36,MCO,LGA,950,3.0,11,0,N,0,23.0,0.0,0.0,0.0,0.0
48,2003,6,27,5,745,720,1024.0,955,AA,1368,N423AA,159.0,155,138.0,29.0,25,MCO,LGA,950,3.0,18,0,N,0,25.0,0.0,4.0,0.0,0.0
50,2003,6,1,7,1640,1555,1801.0,1725,AA,1369,N448AA,141.0,150,115.0,36.0,45,EWR,ORD,719,6.0,20,0,N,0,0.0,0.0,0.0,0.0,36.0
51,2003,6,3,2,1809,1555,1957.0,1725,AA,1369,N456AA,168.0,150,121.0,152.0,134,EWR,ORD,719,6.0,41,0,N,0,0.0,0.0,62.0,0.0,90.0
52,2003,6,4,3,1731,1555,1905.0,1725,AA,1369,N567AA,154.0,150,109.0,100.0,96,EWR,ORD,719,7.0,38,0,N,0,0.0,0.0,14.0,0.0,86.0
54,2003,6,11,3,1657,1555,1835.0,1725,AA,1369,N241AA,158.0,150,111.0,70.0,62,EWR,ORD,719,11.0,36,0,N,0,0.0,0.0,70.0,0.0,0.0
55,2003,6,12,4,1616,1555,1756.0,1725,AA,1369,N557AA,160.0,150,109.0,31.0,21,EWR,ORD,719,10.0,41,0,N,0,0.0,0.0,31.0,0.0,0.0
56,2003,6,13,5,1642,1555,1825.0,1725,AA,1369,N255AA,163.0,150,110.0,60.0,47,EWR,ORD,719,9.0,44,0,N,0,0.0,0.0,41.0,0.0,19.0
57,2003,6,15,7,1603,1555,1755.0,1725,AA,1369,N408AA,172.0,150,121.0,30.0,8,EWR,ORD,719,10.0,41,0,N,0,0.0,0.0,27.0,0.0,3.0
59,2003,6,17,2,1649,1555,1828.0,1725,AA,1369,N292AA,159.0,150,113.0,63.0,54,EWR,ORD,719,15.0,31,0,N,0,0.0,0.0,63.0,0.0,0.0
61,2003,6,20,5,1640,1555,1825.0,1725,AA,1369,N478AA,165.0,150,118.0,60.0,45,EWR,ORD,719,14.0,33,0,N,0,31.0,0.0,15.0,0.0,14.0
62,2003,6,22,7,1719,1555,1920.0,1725,AA,1369,N439AA,181.0,150,111.0,115.0,84,EWR,ORD,719,21.0,49,0,N,0,0.0,0.0,115.0,0.0,0.0
63,2003,6,23,1,1736,1555,1905.0,1725,AA,1369,N554AA,149.0,150,116.0,100.0,101,EWR,ORD,719,4.0,29,0,N,0,0.0,0.0,8.0,0.0,92.0
64,2003,6,24,2,1608,1555,1815.0,1725,AA,1369,N406AA,187.0,150,115.0,50.0,13,EWR,ORD,719,11.0,61,0,N,0,0.0,0.0,39.0,0.0,11.0
65,2003,6,25,3,1629,1555,1818.0,1725,AA,1369,N459AA,169.0,150,113.0,53.0,34,EWR,ORD,719,10.0,46,0,N,0,0.0,0.0,53.0,0.0,0.0
67,2003,6,27,5,1634,1555,1808.0,1725,AA,1369,N4XRAA,154.0,150,113.0,43.0,39,EWR,ORD,719,10.0,31,0,N,0,0.0,0.0,43.0,0.0,0.0
68,2003,6,29,7,1720,1555,1905.0,1725,AA,1369,N481AA,165.0,150,114.0,100.0,85,EWR,ORD,719,9.0,42,0,N,0,0.0,64.0,15.0,0.0,21.0
70,2003,6,7,6,723,610,935.0,800,AA,1370,N444AA,192.0,170,167.0,95.0,73,BOS,STL,1046,5.0,20,0,N,0,73.0,0.0,22.0,0.0,0.0
72,2003,6,7,6,1007,850,1328.0,1210,AA,1370,N410AA,141.0,140,127.0,78.0,77,STL,RSW,979,3.0,11,0,N,0,77.0,0.0,1.0,0.0,0.0
73,2003,6,9,1,1620,1430,1758.0,1615,AA,1373,N524AA,158.0,165,137.0,103.0,110,MCO,DFW,984,9.0,12,0,N,0,0.0,79.0,0.0,0.0,24.0
74,2003,6,12,4,1601,1430,1747.0,1615,AA,1373,N543AA,166.0,165,142.0,92.0,91,MCO,DFW,984,7.0,17,0,N,0,0.0,0.0,1.0,0.0,91.0
75,2003,6,13,5,1525,1430,1705.0,1615,AA,1373,N524AA,160.0,165,142.0,50.0,55,MCO,DFW,984,4.0,14,0,N,0,0.0,5.0,0.0,0.0,45.0
76,2003,6,17,2,1438,1430,1723.0,1615,AA,1373,N538AA,225.0,165,197.0,68.0,8,MCO,DFW,984,12.0,16,0,N,0,0.0,0.0,60.0,0.0,8.0
77,2003,6,18,3,1449,1430,1640.0,1615,AA,1373,N540AA,171.0,165,149.0,25.0,19,MCO,DFW,984,10.0,12,0,N,0,0.0,0.0,6.0,0.0,19.0
78,2003,6,19,4,1527,1430,1710.0,1615,AA,1373,N503AA,163.0,165,141.0,55.0,57,MCO,DFW,984,10.0,12,0,N,0,0.0,0.0,0.0,0.0,55.0
80,2003,6,21,6,1553,1430,1746.0,1615,AA,1373,N586AA,173.0,165,133.0,91.0,83,MCO,DFW,984,16.0,24,0,N,0,0.0,21.0,8.0,0.0,62.0
82,2003,6,25,3,1543,1430,1736.0,1615,AA,1373,N521AA,173.0,165,146.0,81.0,73,MCO,DFW,984,17.0,10,0,N,0,0.0,56.0,8.0,0.0,17.0
83,2003,6,30,1,1517,1430,1657.0,1615,AA,1373,N406AA,160.0,165,139.0,42.0,47,MCO,DFW,984,9.0,12,0,N,0,0.0,0.0,0.0,0.0,42.0
84,2003,6,1,7,1512,1430,1914.0,1835,AA,1374,N516AA,182.0,185,163.0,39.0,42,DFW,DCA,1192,6.0,13,0,N,0,5.0,0.0,0.0,0.0,34.0
85,2003,6,3,2,1708,1430,2132.0,1835,AA,1374,N208AA,204.0,185,185.0,177.0,158,DFW,DCA,1192,6.0,13,0,N,0,136.0,0.0,19.0,0.0,22.0
86,2003,6,4,3,1458,1430,2035.0,1835,AA,1374,N4XAAA,277.0,185,198.0,120.0,28,DFW,DCA,1192,67.0,12,0,N,0,4.0,0.0,92.0,0.0,24.0
89,2003,6,7,6,1505,1430,1906.0,1835,AA,1374,N561AA,181.0,185,167.0,31.0,35,DFW,DCA,1192,5.0,9,0,N,0,12.0,0.0,0.0,0.0,19.0
90,2003,6,9,1,1558,1430,2110.0,1835,AA,1374,N479AA,252.0,185,156.0,155.0,88,DFW,DCA,1192,5.0,91,0,N,0,0.0,5.0,67.0,0.0,83.0
91,2003,6,10,2,1522,1430,1915.0,1835,AA,1374,N253AA,173.0,185,146.0,40.0,52,DFW,DCA,1192,4.0,23,0,N,0,0.0,0.0,16.0,0.0,24.0
92,2003,6,12,4,1640,1430,2043.0,1835,AA,1374,N4WUAA,183.0,185,162.0,128.0,130,DFW,DCA,1192,6.0,15,0,N,0,110.0,0.0,0.0,0.0,18.0
93,2003,6,13,5,1609,1430,2006.0,1835,AA,1374,N537AA,177.0,185,159.0,91.0,99,DFW,DCA,1192,5.0,13,0,N,0,0.0,0.0,70.0,0.0,21.0
94,2003,6,17,2,1438,1430,1902.0,1835,AA,1374,N503AA,204.0,185,153.0,27.0,8,DFW,DCA,1192,25.0,26,0,N,0,0.0,2.0,19.0,0.0,6.0
96,2003,6,19,4,1536,1430,2021.0,1835,AA,1374,N583AA,225.0,185,153.0,106.0,66,DFW,DCA,1192,57.0,15,0,N,0,0.0,66.0,40.0,0.0,0.0
97,2003,6,20,5,1521,1430,1914.0,1835,AA,1374,N4YMAA,173.0,185,155.0,39.0,51,DFW,DCA,1192,4.0,14,0,N,0,11.0,0.0,0.0,0.0,28.0
98,2003,6,21,6,1517,1430,1858.0,1835,AA,1374,N241AA,161.0,185,145.0,23.0,47,DFW,DCA,1192,5.0,11,0,N,0,6.0,0.0,0.0,0.0,17.0
99,2003,6,22,7,1652,1430,2141.0,1835,AA,1374,N432AA,229.0,185,145.0,186.0,142,DFW,DCA,1192,66.0,18,0,N,0,0.0,0.0,179.0,0.0,7.0
100,2004,6,23,1,1535,1430,1928.0,1835,AA,1374,N292AA,173.0,185,159.0,53.0,65,DFW,DCA,1192,5.0,9,0,N,0,50.0,0.0,0.0,0.0,3.0
102,2004,6,28,6,1459,1430,1908.0,1835,AA,1374,N537AA,189.0,185,165.0,33.0,29,DFW,DCA,1192,10.0,14,0,N,0,0.0,0.0,9.0,0.0,24.0
104,2004,6,30,1,1608,1430,1957.0,1835,AA,1374,N227AA,169.0,185,144.0,82.0,98,DFW,DCA,1192,6.0,19,0,N,0,17.0,0.0,0.0,0.0,65.0
107,2004,6,10,2,826,725,1205.0,1110,AA,1375,N630AA,219.0,225,203.0,55.0,61,BDL,SJU,1666,5.0,11,0,N,0,55.0,0.0,0.0,0.0,0.0
112,2004,6,5,4,1357,1345,1507.0,1450,AA,1377,N4WNAA,70.0,65,43.0,17.0,12,DFW,XNA,281,6.0,21,0,N,0,10.0,0.0,5.0,0.0,2.0
113,2004,6,6,5,1412,1345,1526.0,1450,AA,1377,N587AA,74.0,65,49.0,36.0,27,DFW,XNA,281,7.0,18,0,N,0,6.0,0.0,9.0,0.0,21.0
115,2004,6,16,1,1358,1345,1507.0,1450,AA,1377,N530AA,69.0,65,45.0,17.0,13,DFW,XNA,281,6.0,18,0,N,0,9.0,0.0,4.0,0.0,4.0
116,2004,6,19,4,1419,1345,1518.0,1450,AA,1377,N428AA,59.0,65,44.0,28.0,34,DFW,XNA,281,4.0,11,0,N,0,0.0,28.0,0.0,0.0,0.0
117,2004,6,20,5,1435,1345,1554.0,1450,AA,1377,N298AA,79.0,65,49.0,64.0,50,DFW,XNA,281,12.0,18,0,N,0,5.0,0.0,14.0,0.0,45.0
118,2004,6,23,1,1433,1345,1534.0,1450,AA,1377,N410AA,61.0,65,48.0,44.0,48,DFW,XNA,281,5.0,8,0,N,0,41.0,0.0,0.0,0.0,3.0
120,2004,6,26,4,1419,1345,1521.0,1450,AA,1377,N550AA,62.0,65,44.0,31.0,34,DFW,XNA,281,4.0,14,0,N,0,31.0,0.0,0.0,0.0,0.0
123,2004,6,20,5,1126,1055,1350.0,1255,AA,1377,N298AA,204.0,180,169.0,55.0,31,IAD,DFW,1172,23.0,12,0,N,0,31.0,0.0,24.0,0.0,0.0
124,2004,6,22,7,1035,1025,1244.0,1225,AA,1377,N506AA,189.0,180,161.0,19.0,10,IAD,DFW,1172,15.0,13,0,N,0,10.0,0.0,9.0,0.0,0.0
126,2004,6,1,7,1249,1050,1354.0,1150,AA,1378,N555AA,65.0,60,43.0,124.0,119,SAT,DFW,247,9.0,13,0,N,0,0.0,0.0,5.0,0.0,119.0
127,2004,6,9,1,1057,1050,1210.0,1150,AA,1378,N441AA,73.0,60,42.0,20.0,7,SAT,DFW,247,18.0,13,0,N,0,0.0,0.0,17.0,0.0,3.0
128,2004,6,10,2,1101,1050,1217.0,1150,AA,1378,N486AA,76.0,60,49.0,27.0,11,SAT,DFW,247,12.0,15,0,N,0,0.0,0.0,20.0,0.0,7.0
129,2004,6,11,3,1125,1050,1230.0,1150,AA,1378,N469AA,65.0,60,45.0,40.0,35,SAT,DFW,247,8.0,12,0,N,0,0.0,0.0,5.0,0.0,35.0
130,2004,6,13,5,1100,1050,1215.0,1150,AA,1378,N478AA,75.0,60,44.0,25.0,10,SAT,DFW,247,20.0,11,0,N,0,0.0,0.0,18.0,0.0,7.0
131,2004,6,15,7,1228,1050,1330.0,1150,AA,1378,N547AA,62.0,60,44.0,100.0,98,SAT,DFW,247,10.0,8,0,N,0,98.0,0.0,2.0,0.0,0.0
132,2004,6,17,2,1305,1050,1412.0,1150,AA,1378,N462AA,67.0,60,46.0,142.0,135,SAT,DFW,247,11.0,10,0,N,0,0.0,0.0,81.0,0.0,61.0
134,2004,6,22,7,1059,1050,1221.0,1150,AA,1378,N476AA,82.0,60,47.0,31.0,9,SAT,DFW,247,17.0,18,0,N,0,0.0,0.0,22.0,0.0,9.0
135,2004,6,28,6,1104,1050,1216.0,1150,AA,1378,N468AA,72.0,60,42.0,26.0,14,SAT,DFW,247,16.0,14,0,N,0,14.0,0.0,12.0,0.0,0.0
136,2004,6,29,7,1113,1050,1214.0,1150,AA,1378,N584AA,61.0,60,41.0,24.0,23,SAT,DFW,247,9.0,11,0,N,0,0.0,0.0,1.0,0.0,23.0
137,2004,6,3,2,804,750,1006.0,945,AA,1379,N5BSAA,182.0,175,157.0,21.0,14,MIA,DFW,1121,7.0,18,0,N,0,14.0,0.0,7.0,0.0,0.0
138,2004,6,5,4,1007,750,1155.0,945,AA,1379,N616AA,168.0,175,150.0,130.0,137,MIA,DFW,1121,5.0,13,0,N,0,130.0,0.0,0.0,0.0,0.0
139,2004,6,15,7,846,750,1028.0,945,AA,1379,N5CTAA,162.0,175,148.0,43.0,56,MIA,DFW,1121,5.0,9,0,N,0,43.0,0.0,0.0,0.0,0.0
140,2004,6,24,2,826,750,1031.0,945,AA,1379,N5FGAA,185.0,175,148.0,46.0,36,MIA,DFW,1121,9.0,28,0,N,0,36.0,0.0,10.0,0.0,0.0
143,2004,6,3,2,1614,1545,1924.0,1855,AA,1380,N593AA,130.0,130,104.0,29.0,29,DFW,IND,762,15.0,11,0,N,0,29.0,0.0,0.0,0.0,0.0
145,2004,6,10,2,1605,1545,1910.0,1855,AA,1380,N4WDAA,125.0,130,103.0,15.0,20,DFW,IND,762,8.0,14,0,N,0,15.0,0.0,0.0,0.0,0.0
146,2004,6,11,3,1646,1545,1945.0,1855,AA,1380,N4WVAA,119.0,130,101.0,50.0,61,DFW,IND,762,6.0,12,0,N,0,50.0,0.0,0.0,0.0,0.0
147,2004,6,13,5,1637,1545,1942.0,1855,AA,1380,N4YDAA,125.0,130,101.0,47.0,52,DFW,IND,762,8.0,16,0,N,0,47.0,0.0,0.0,0.0,0.0
149,2004,6,17,2,1611,1545,1913.0,1855,AA,1380,N4YGAA,122.0,130,101.0,18.0,26,DFW,IND,762,4.0,17,0,N,0,0.0,3.0,0.0,0.0,15.0
150,2004,6,19,4,1659,1545,2002.0,1855,AA,1380,N420AA,123.0,130,105.0,67.0,74,DFW,IND,762,9.0,9,0,N,0,0.0,67.0,0.0,0.0,0.0
151,2004,6,20,5,1703,1545,2011.0,1855,AA,1380,N459AA,128.0,130,101.0,76.0,78,DFW,IND,762,12.0,15,0,N,0,62.0,0.0,0.0,0.0,14.0
153,2004,6,27,5,1625,1545,1928.0,1855,AA,1380,N410AA,123.0,130,105.0,33.0,40,DFW,IND,762,9.0,9,0,N,0,33.0,0.0,0.0,0.0,0.0
155,2004,6,29,7,1554,1545,1917.0,1855,AA,1380,N436AA,143.0,130,104.0,22.0,9,DFW,IND,762,20.0,19,0,N,0,9.0,0.0,13.0,0.0,0.0
156,2004,6,2,1,1232,1225,1402.0,1340,AA,1381,N530AA,150.0,135,108.0,22.0,7,ATL,DFW,732,22.0,20,0,N,0,7.0,0.0,15.0,0.0,0.0
157,2004,6,4,3,1246,1225,1358.0,1340,AA,1381,N534AA,132.0,135,112.0,18.0,21,ATL,DFW,732,6.0,14,0,N,0,0.0,0.0,0.0,0.0,18.0
158,2004,6,5,4,1245,1225,1359.0,1340,AA,1381,N218AA,134.0,135,111.0,19.0,20,ATL,DFW,732,8.0,15,0,N,0,19.0,0.0,0.0,0.0,0.0
159,2004,6,7,6,1233,1225,1356.0,1340,AA,1381,N232AA,143.0,135,107.0,16.0,8,ATL,DFW,732,22.0,14,0,N,0,0.0,0.0,12.0,0.0,4.0
160,2004,6,18,3,1242,1225,1401.0,1340,AA,1381,N227AA,139.0,135,104.0,21.0,17,ATL,DFW,732,15.0,20,0,N,0,4.0,0.0,4.0,0.0,13.0
161,2004,6,20,5,1401,1225,1519.0,1340,AA,1381,N509AA,138.0,135,111.0,99.0,96,ATL,DFW,732,13.0,14,0,N,0,0.0,0.0,3.0,0.0,96.0
164,2004,6,26,4,1330,1225,1441.0,1340,AA,1381,N244AA,131.0,135,101.0,61.0,65,ATL,DFW,732,11.0,19,0,N,0,0.0,0.0,0.0,0.0,61.0
165,2004,6,29,7,1232,1225,1358.0,1340,AA,1381,N208AA,146.0,135,104.0,18.0,7,ATL,DFW,732,23.0,19,0,N,0,7.0,0.0,11.0,0.0,0.0
166,2004,6,30,1,1249,1225,1404.0,1340,AA,1381,N4UBAA,135.0,135,105.0,24.0,24,ATL,DFW,732,13.0,17,0,N,0,0.0,0.0,0.0,0.0,24.0
169,2004,6,4,3,1505,1425,1555.0,1525,AA,1381,N534AA,50.0,60,33.0,30.0,40,DFW,OKC,175,5.0,12,0,N,0,24.0,0.0,0.0,0.0,6.0
170,2004,6,5,4,1438,1425,1542.0,1525,AA,1381,N560AA,64.0,60,34.0,17.0,13,DFW,OKC,175,5.0,25,0,N,0,4.0,0.0,4.0,0.0,9.0
172,2004,6,9,1,1442,1425,1559.0,1525,AA,1381,N428AA,77.0,60,55.0,34.0,17,DFW,OKC,175,5.0,17,0,N,0,7.0,0.0,17.0,0.0,10.0
173,2004,6,14,6,1448,1425,1542.0,1525,AA,1381,N464AA,54.0,60,33.0,17.0,23,DFW,OKC,175,5.0,16,0,N,0,17.0,0.0,0.0,0.0,0.0
176,2004,6,17,2,1510,1425,1636.0,1525,AA,1381,N541AA,86.0,60,42.0,71.0,45,DFW,OKC,175,6.0,38,0,N,0,0.0,15.0,26.0,0.0,30.0
177,2004,6,18,3,1614,1425,1709.0,1525,AA,1381,N227AA,55.0,60,37.0,104.0,109,DFW,OKC,175,6.0,12,0,N,0,94.0,0.0,0.0,0.0,10.0
178,2004,6,19,4,1608,1425,1701.0,1525,AA,1381,N461AA,53.0,60,33.0,96.0,103,DFW,OKC,175,6.0,14,0,N,0,0.0,89.0,0.0,0.0,7.0
179,2004,6,20,5,1616,1425,1702.0,1525,AA,1381,N509AA,46.0,60,29.0,97.0,111,DFW,OKC,175,5.0,12,0,N,0,19.0,0.0,0.0,0.0,78.0
